codigo_manzana,total_pob,cuenta_1,cuenta_2,cuenta_3,cuenta_4,cuenta_5,cuenta_6,cuenta_7,cuenta_8,cuenta_9,cuenta_10,cuenta_11,cuenta_12,cuenta_13,cuenta_14,cuenta_15,cuenta_16,cuenta_17,cuenta_18,cuenta_19,cuenta_20,cuenta_21,cantidad_casas,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000610000000000020438,25,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,10,4.0,2.0,0.3,0.8
5000610000000000020440,60,3.0,6.0,2.0,1.0,3.0,6.0,6.0,6.0,6.0,4.0,3.0,5.0,2.0,4.0,1.0,,2.0,,,,,27,4.0,2.0,0.15,0.93
5000610000000000020441,52,6.0,4.0,3.0,4.0,7.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,,1.0,2.0,1.0,,,,,16,3.0,2.0,0.38,0.81
5000610000000000020503,73,7.0,7.0,9.0,2.0,7.0,9.0,6.0,5.0,4.0,3.0,5.0,1.0,2.0,1.0,3.0,2.0,,,,,,29,4.0,2.0,0.38,0.83
5000610000000000020519,399,31.0,33.0,38.0,46.0,33.0,26.0,36.0,38.0,44.0,27.0,11.0,19.0,7.0,8.0,,,,2.0,,,,198,4.0,2.0,0.33,0.63
5000610000000000020520,82,5.0,7.0,9.0,7.0,5.0,4.0,7.0,8.0,6.0,9.0,7.0,6.0,,1.0,1.0,,,,,,,31,6.0,3.8,0.39,0.77
5000610000000000020521,72,6.0,6.0,7.0,7.0,5.0,2.0,4.0,8.0,5.0,8.0,6.0,3.0,1.0,3.0,1.0,,,,,,,33,4.0,2.0,0.27,0.76
5000610000000000020522,109,12.0,5.0,12.0,10.0,14.0,11.0,11.0,6.0,6.0,3.0,4.0,7.0,4.0,1.0,2.0,,,1.0,,,,46,4.0,2.0,0.24,0.72
5000610000000000020523,122,11.0,7.0,9.0,13.0,12.0,15.0,17.0,3.0,10.0,6.0,7.0,3.0,3.0,2.0,2.0,2.0,,,,,,43,4.0,2.0,0.44,0.95
5000610000000000020524,95,7.0,7.0,6.0,16.0,10.0,8.0,4.0,13.0,3.0,8.0,7.0,3.0,2.0,,1.0,,,,,,,23,5.0,2.0,0.87,1.0
5000610000000000020525,30,2.0,2.0,3.0,1.0,4.0,2.0,2.0,,1.0,4.0,3.0,2.0,2.0,1.0,1.0,,,,,,,17,3.0,1.9,0.18,0.71
5000610000000000020526,14,3.0,2.0,1.0,,,,3.0,1.0,,4.0,,,,,,,,,,,,6,5.0,2.3,0.67,0.67
5000610000000000020527,84,6.0,8.0,8.0,8.0,7.0,8.0,7.0,5.0,6.0,6.0,6.0,2.0,4.0,,3.0,,,,,,,28,4.0,2.1,0.32,0.82
5000610000000000020528,67,4.0,5.0,6.0,11.0,3.0,7.0,3.0,7.0,9.0,3.0,5.0,,3.0,,1.0,,,,,,,28,5.0,3.0,0.21,0.71
5000610000000000020529,72,2.0,6.0,5.0,7.0,9.0,2.0,7.0,3.0,7.0,4.0,5.0,3.0,2.0,5.0,3.0,,1.0,,1.0,,,24,4.0,3.0,0.21,1.0
